,text,sentiment
260,thehill top gop pundits pick gopdebate winners http co qpvju p sz http co jcdu qzjnj winners fox news losers usa,0
261,dykstradame candidates went hillaryclinton times gopdebate remained silent issues affect us http,0
262,danscavino megynkelly trying show realdonaldtrump w foxnews trying take trying destroy happening kelly,0
263,gov tweeted gopdebate moment realbencarson saying publicize world answer waterboarding,0
264,give e big ego gopdebate earned excellence rhymes rump,0
265,passion gopdebate religiousupamovie,1
266,nro marcorubio got best reviews deserved read nreditorial recap gopdebate gt http co stzw,1
268,kesgardner brutal question assclown megan kelly lesson careful tweet twitter gopdebate,1
270,trump changed mind supporting partial birth abortion friend changed mind aborting amp great kid gopdebate,0
271,best closing statement realbencarson gopdebate,1
272,chrischristie stop worrying loved amp start worrying respected tellingitlikeitis gopdebate https,1
273,lesleyabravanel trump sycophants want know megynkelly hidden agenda last night answer simple called vagin,0
275,donald trump really nasty piece work hope disappears quickly gopdebate,0
276,amaraconda fetuses unborn babies clusters cells stop shaming people want abortions gopdebate,0
277,mattkbh far away best tweets last night debatewithbernie gopdebate http co gzdltyumnn,1
279,pattonoswalt despite huckabee says always make sure prostitute pimp pay fica pension gopdebate,0
281,foxnews great challenging candidates gopdebate candidates handle tough question could never b potus,1
282,k mcq say opposite megan kelly acted like sjw tumblr whining feminism sad gopdebate https c,0
283,conssista rightly frank rightly gopdebate https co cfasi,1
284,number times ronald reagan mentioned gopdebate damn high,0
285,pattonoswalt trump p c culture suddenly even kidding howling shit cave human gop,0
286,carljacksonshow bencarson great close operates brains worry skin color gopdebate,1
287,davante r women would offended trumps misogyny certainly vote republican find new fake issue faux news,0
288,auntcol keep religion politics gopdebate,0
290,wilw boy bet mood clown car going tense jerks leave gopdebate,0
291,campeauelliot dr ben carson great job tonight loved closing statement realbencarson gopdebate,1
293,foxnewspolitics behind fox debate anchors hashed questions gopdebate failed,0
294,anyone get trashed playing rollingstone gopdebate drinking game drinkinggame,0
295,donaldtrump donates u call favor years later sounds like thegodfather potus thats legal gopdebate gopclowncar,0
296,jediane ugh think actually people sitting couch last night saying yes yes reasonable gopdebate,0
298,kesgardner politics even partially rational trump campaign gop nomination ended gopdebate,0
300,chrisjzullo scott walker chooses killing mother rather aborting unborn embryo reason countries give us funny,0
301,uniteblue abortion talking point gopdebate since ppsellsbabyparts,0
302,k mcq closing statements reminisce america longer exists ted kennedy immigration nationality act g,0
304,maureenjohnson ted cruz going personally take away telescope try witch gopdebate,0
305,realdonaldtrump killed last night gopdebate glad cares america makeamericagreatagain,1
306,youngblkrepub gopdebate exciting anything else tv past years,1
307,abbijacobson shiiiittt tough say making horny gopdebate,1
309,bullriders olivianuzzi daveweigel gopdebate better thought though candidates finessed issues sound bytes,1
310,thebaxterbean yes marco rubio actually said iraq invasion mistake http co xrowkhymm gopdebate http co vjmjdm,0
311,thebaxterbean marco rubio voted unemployment benefits even though florida needs http co uolsctj gopdebate ht,0
312,jebbush thoughtful gopdebate rethink http co k hnbe jy,1
313,thejimhughes lot jobs available bush serves terms conservatives committed suicide go,0
314,huh watching foxnews debate far moderators participants better gopdebate,1
315,chicspolitico donald trump insulted megynkelly women one man stage confronted none worthy,0
316,jjauthor learjetter waiting megynkelly ask realdonaldtrump stop beating wife gopdebate http,0
317,andreatantaros last night watching outnumberedfnc got ericbolling good stuff gopdebate,0
318,renomarky earth megynkelly aint gopdebate foxdebate megynkelly megynkellydebatequestions http co yxhy,0
322,fff highlights week include nationalunderwearday gopdebate jonvoyage officially worst week ever tgif,0
324,kesgardner course assclown pledge run third party candidate gopdebate,0
325,paul krugman sums happended last night one two major parties gone deep end http co gkubem ge gopdebate,0
326,eqphoto remember matter wins gopdebate everyone watched loses alcoholpoisoning,0
327,anthonymarlowe trump video cost times would managed realdonaldtrump gopdebate h,0
328,megynkelly disgraced last night gopdebate,0
329,proginosko prediction final gopdebate donald trump tear missionimpossible mask reveal smirking jon stewart,0
330,fallon jon stewart please come back alone https co iua hy uc gopdebate politics,1
332,kesgardner ted cruz angling slightly less loony version donald trump gopdebate,0
333,meet new darling left megyn gotcha kelly gopdebate foxnews donaldtrump megynkelly,0
334,toddstarnes abortion question disgusting gopdebate,0
335,nytimes cnn praised foxnews thought good job gopdebate good thing,0
338,gopdebate lesson coming months quality quantity words amp time tangible believable propsals http co yhvnoeinyi,0
339,cnn new york times praising foxnews moderators know completely wrong gopdebate,0
342,megynkelly displayed utmost authority foxnews gopdebate critic says http co jbvwjtj http co mel jxm b,1
343,tusk one candidate spoke trump mass deportation plan amp one condemned racist comments latinos forget,0
344,donald hero gopdebate http co zzflchjqo,1
345,gerryduggan kryptonian science council worried climate change scary people gopdebate,0
346,withholding valuable presidential endorsement hear everyone point view nd amendment gopdebate,0
348,mikedrucker ronald reagan never abortion isis women need either basically everyone tonight gopdebate,0
351,chrischristie gopdebate last night candidate answered questions directly afraid take tough issues,1
353,govmikehuckabee fredbarnes weeklystandard mike huckabee star luntz focus group show spoke feedback,1
354,watching primetime gopdebate afternoon think bencarson real winner quiet effective,1
356,jackie pepper jeb giving serious janet reno tonight gopdebate http co vxfy ms wg,0
357,boomers r smart know use internet gopdebate http co igp wwnzcu cosproject jpnet http co mt hetqxs,0
358,govmikehuckabee china deal playground bully punching face amp putting ground b c res,0
359,ali lots republicans facebook twitter timelines ticked fox news running hatchet job debate gopdeba,0
360,defend foxnews far fair balanced last night name calling juvenile gopdebate,0
361,catholiclisa hats ben carson using term useful idiots hillary clinton secular progressive movement gopd,1
362,megynkelly fox team talked minutes gopdebate walker talked obvious goal ambush everyone pathetic,0
363,johnamato actually agree andreatantaros something said realdonaldtrump hurt gopdebate concur,1
364,donniewahlberg like ben carsons brain mike huckabees heart marco rubios soul chris christies fight john kasichs hope add carly fi,1
367,dykstradame gopdebate like super crappy cage fight blustering bumbling old wrinkled tuckus clinchers without ca,0
368,govmikehuckabee military social experiment purpose military kill people break things imwithhuck,0
371,megynkelly gopdebate kelly role model speak prof friends rosie real woman carlyfiorina kelly poser,0
372,donald trump whatajoke gopdebate,0
373,funnyordie feels like fox news tried cool parents let kids party amp house fire gopdeba,0
374,patriotmom unconscionable foxnews moderators asked candidates except santorum foreign policy amp nat sec questions,0
376,crissghoul pro life pro control pro religion pro never mother gopdeba,0
377,redstatejake solid debate tips take gander gop http co pufj dla gopdebate teaparty tcot tlot icon http co wpi,0
378,johnkasich creating jobs greatest moral purpose strengthen families amp communities gopdebate http co xe,1
379,nevagphx carlyfiorina magnificent first gopdebate support ted cruz potus would support running mate pot,1
380,woman supports r party please wake get informed gopdebate,0
381,kasich clear standout among gopdebate cannon fodder record contradicts statements lgbt acceptance http co ynuckulnjv,1
383,anti carlyfiorina unit clinton personal destruction force working sure gopdebate https co p dt tiy,0
386,marmel mother worked nobody gopdebate,0
387,newswriter americans getting beheaded overseas megynkelly worried whether realdonaldtrump calls rosie donnell f,0
388,gopdebate real american idol elections auditions whose consent counts amp decisions made http co bleoby r n,0
389,elections democracy political debates entertainment particularly sterling quality federal republic gopdebate,0
390,chrischristie randpaul americans fear people live fear free liberty fear unamerican gopdebate,0
392,bj gopdebate carly fiorina dominates social media even beating trump fox nation http co vueeverddy,1
393,rachelmartinart wonder gopdebate address actual solutions climate change clean energy debatewithbernie,0
394,vivigold realdonaldtrump misogynist ignorant xenophobic greedy another proof money buy class gopdebate go,0
396,immigrannacion jebbush gopdebate usa seriously would vote clowns need cirnow ainf tntvote http co,0
397,waynedupreeshow disagree want gopdebate hit job realdonaldtrump calculated mute job sentedcruz realbencarso,1
398,actually agree andreatantaros something said realdonaldtrump hurt gopdebate concur,1
400,govmikehuckabee let take america hope higher ground help gt http co tky smc imwithhuck gopdebate http,1
401,ambertozer got caught gopdebate felt like write joke biggest joke whole,0
402,joshcomers jeb makes want blow rails w wreck dad car gopdebate,0
403,keep religion politics gopdebate,0
405,chris cristie abortions absurd gopdebate,0
407,eating lunch two old ladies discussing gopdebate giving life shading shit outta christie trump,0
408,ali davis tonight gopdebate important reminder guys think women carrying cases fetuses,0
409,realbencarson may lord guide words tonight let wisdom thoughts gopdebate,1
411,squintz gopdebate pretty much http co fhg fmg,0
413,deray trump literally said donates politicians calls later get wants literally said,0
415,gopdebate none presidential candidates brought fucking gom jabbar mean least liven crazy,0
417,govmikehuckabee eloquent knew saying believed saying imwithhuck gopdebate https,1
419,thebaxterbean fact checkers proved scott walker literally lies often tells truth http co keoebnrwgu gopdebate ht,0
420,pattonoswalt want berniesanders quietly walk onto stage five point palm exploding heart hollow beasts g,0
421,gopdebate debate good quit throwing crap realdonaldtrump got substantive candidates handled gotcha questions,1
422,brios clowns even tackle climate change mention inequality surprised gopdebate http,0
423,pattonoswalt going ask lenny kravitz penis one question disrespectful gopdebate,0
424,watched gop debate last night saw trump donaldtrump gopdebate realdonaldtrump trumpforpresident,1
425,factchecking gopdebate http co n rubxxcv unsurprising massive levels lies truth stretching general bullshittery,0
426,wonder much tonight megynkelly show gopdebate foxnews,0
427,chooseliferacer gopdebate never lose focus truly important issues defundpp amp praytoendabortion http co oxiow yjs,1
428,chicspolitico trump calling megynkelly bimbo reprehensible choosing candidate president jerry spri,0
430,rebleber mentioned gopdebate voting rights climate change gun violence police shootings student debt inequality,0
431,carlyfiorina almost time tune foxnews p edt gopdebate carly http co hev fe hhr,0
432,amazing degree commitment running joke http co vpxxlxevhi gopdebate photobomb,1
433,govmikehuckabee foxnews focus group articulate relatable amp made lot good points imwithhuck gopdebate h,1
434,teatraitors gopdebate still clown show glad head clown trump helping destroy gop http co qwtnpuir,0
436,gop wants defundpp huckabee wants legalize prostitution drugs gopdebate,0
437,favorite jeb line taking teacher unions beating sure empowers kids disenfranchise ones teach em gopdebate,0
438,britt ash current mood gopdebate http co gfsnedxeoj,0
439,newest b built like huckabee complained mean st ronnie built gopdebate,0
441,g humbertson perry says would rather send carlyfiorina negotiate iran john kerry gopdebate,0
442,fan foxnews megynkelly deserves better called bimbo ldonaldtrump job gopdebate uniteblue,1
443,excellent post gop debate analysis friend rmanning limitgovt http co giuogvmnnc gopdebate,1
444,rachlwhitehurst tell bad cramps uterus trying flee country watch gopdebate,0
445,kumailn realization dawns us holy shit watching fox news gopdebate,0
446,hey realdonaldtrump know whine unfair questions carlyfiorina grow set ya gopdebate,0
447,whoissizzle hillary spent gopdebate kim kanye love see http co h ijxx http co kqs nb,1
448,john kasich seems like decent guy shame drowned loonies gop gopdebate,0
449,feministabulous feelings trump gopdebate http co bkuz oiame,0
450,deray end bingo gopdebate http co xul qxp,0
451,chris christie said appointed u attorney sept actually appointed dec gopdebate http co gkqtnvk,0
452,chris christie fundamentally misunderstands th amendment amp got owned randpaul nsa http co xawzzrhvfi gopdebate,0
453,cmclymer fun fact party super patriots single candidate stage served day military gopdebate,0
457,wagnergirle thank tedcruz speaking govermentcartel makeamericagreatagain securetheborder gopdebate http co,1
460,real illegal alien america gopdebate farrakhan immigration amp mexican bor https co lklffn lfy via youtube,0
461,candidate really likes hugs one word defined one gopdebate http co rghrenzewi http co rzzzg p,1
462,imfabulous assume guys boo gay soldier time opportunity arise rsg gopdebate http,0
463,hrc johnkasich said love daughters gay voting record says otherwise gopdebate http co qwnqmblz,0
464,marmel mother worked mothers worked mothers worked nobody mentioned mothers nobody gopdebate,0
468,littleladycassy gopdebate loving fiorina smart point,1
469,catie warren reminder less percent plannedparenthood deals abortions debate tell,0
470,k mcq gop base voters targeted leftist terror campaigns years amp gop establishment relentlessly manipulates,0
471,milesorionfeld entertained trump throws severed head crowd gopdebate,0
473,thatchrisgore really sure president ted cruz would make excellent marvel villain gopdebate tedcruz marvel,0
474,zellieimani debates terrorism expect anyone bring white supremacist organizations engaging terrorism kkkor,0
475,thedailyshow jon stewart feel comfortable w retirement gopdebate solved problems personal amp scientific https co vovjmtwu j,0
477,donald trump reagan con man deliver goods thinkprogress gopdebate http co lhmrkxwvci,0
478,gmadawny rhondawatkgwyn imwithhuck gopdebate th ccot tcot teaparty pjnet http co ba kwluu,1
480,gopdebate offer single solution salient issues,0
481,gopdebate presidential candidate stuck thing presidential electric sharpener,0
484,jgalt love cruz introduced bill strip citizenship americans join isis gopdebate http co mylrlv u e,1
486,anergo teacher seriously trump dangerous whole world gopdebate,0
487,joehudsonsmall would really let mother die rather abortion seriously asked presidential hopeful,0
488,jeb bush defunded planned parenthood proud denied thousands women access life saving healthcare gopdebate,0
489,richarddeitsch frankbruni gopdebate writer top game http co jts alyui,1
490,pamelageller know rand strategy going trump got nothing lose nowhere anyway gopdebate,0
